0,-1,Losers Round 1,sampy,sampy,Bozo,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,-1,Losers Round 1,Sn3aky,Sn3aky,Hylian Drummer,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 1,Captain Sword,Captain Sword,Tedbear,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 1,Kid,Kid,Roz,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Losers Round 1,Drewbie,iBDW,Drewbie,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Losers Round 2,JSSN,JSSN,Dad,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Losers Round 2,McNutly,lincoln3,McNutly,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,Penn,panduhz,Penn,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,Dosed,Mikey,Dosed,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,Adam001,Johnno,Adam001,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 2,sampy,sampy,Sn3aky,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,Koobie,Captain Sword,Koobie,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 2,Kid,Kid,Drewbie,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 3,JSSN,viceroi93,JSSN,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Losers Round 3,Chipotle+,Chipotle+,McNutly,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 3,Penn,ZouL,Penn,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 3,Cyan Can,Cyan Can,Dosed,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 3,El Pintor,El Pintor,Adam001,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 3,sampy,Leftovers,sampy,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 3,Koobie,.Dempt,Koobie,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Losers Round 3,Swoosh,Swoosh,Kid,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Losers Round 4,Chipotle+,JSSN,Chipotle+,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 4,Penn,Penn,Cyan Can,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 4,El Pintor,El Pintor,sampy,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 4,Koobie,Koobie,Swoosh,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 5,LAG,LAG,Chipotle+,Melee @ Xanadu Online 386 - $500 Prize Pool!
